"ID";"dive";"replicate";"Fecha";"Comunidad";"Sitio";"Latitud";"Longitud";"Habitat";"Zonificacion";"TipoProteccion";"ANP";"BuzoMonitor";"HoraInicial";"HoraFinal";"ProfundidadFinal";"Temperatura";"Visibilidad";"Corriente";"Transecto";"Genero";"Especie";"GeneroEspecie";"Sexo";"Abundancia";"Clase";"FM"
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Eucidaris";"thouarsii";"Eucidaris thouarsii";NA;50;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Tripneustes";"depressus";"Tripneustes depressus";NA;9;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Diadema";"mexicanum";"Diadema mexicanum";NA;3;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Toxopneustes";"roseus";"Toxopneustes roseus";NA;3;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;18;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Pinna";"rugosa";"Pinna rugosa";NA;1;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Chama";"spp";"Chama spp";NA;4;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;12;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Gorgoniidae";"spp";"Gorgoniidae spp";NA;6;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Eucidaris";"thouarsii";"Eucidaris thouarsii";NA;25;"invert";NA
