"ID";"Transecto"
"La Caverna 20/05/2011 Torres, Daniel 2 2";10
"La Caverna 20/05/2011 Torres, Jose Cruz 2 1";11
"La Caverna 20/05/2011 Torres, Jose Cruz 2 3";12
"La Caverna 28/09/2011 Becerra, Ulises 1 1";1
"La Caverna 28/09/2011 Becerra, Ulises 1 2";2
"La Caverna 28/09/2011 Becerra, Ulises 1 3";3
"La Caverna 28/09/2011 Becerra, Ulises 2 1";4
"La Caverna 28/09/2011 Becerra, Ulises 2 2";5
"La Caverna 28/09/2011 Becerra, Ulises 2 3";6
"La Caverna 28/09/2011 Bustamante, Noe 1 1";7
"La Caverna 28/09/2011 Bustamante, Noe 1 2";8
"La Caverna 28/09/2011 Bustamante, Noe 1 3";9
"La Caverna 28/09/2011 Garcia, Juan Gabriel 1 1";10
"La Caverna 28/09/2011 Garcia, Juan Gabriel 1 2";11
"La Caverna 28/09/2011 Garcia, Juan Gabriel 2 3";12
"La Caverna 28/09/2011 Torres, Jose Cruz 1 1";13
"La Caverna 28/09/2011 Torres, Jose Cruz 1 2";14
"La Caverna 28/09/2011 Torres, Jose Cruz 1 3";15
"La Caverna 28/09/2011 Torres, Jose Cruz 2 1";16
"La Caverna 28/09/2011 Torres, Jose Cruz 2 2";17
"La Caverna 28/09/2011 Torres, Jose Cruz 2 3";18
"Roca Partida 21/05/2011 Delgado, Samuel 1 1";1
"Roca Partida 21/05/2011 Encinas, Leopoldo 1 1";2
"Roca Partida 21/05/2011 Encinas, Leopoldo 1 2";3
"Roca Partida 21/05/2011 Encinas, Leopoldo 1 3";4
"Roca Partida 21/05/2011 Garcia, Juan Gabriel 2 2";5
"Roca Partida 21/05/2011 Garcia, Juan Gabriel 2 3";6
"Roca Partida 21/05/2011 Pelayo Camacho, Flaviano 2 1";7
"Roca Partida 21/05/2011 Pelayo Camacho, Flaviano 2 2";8
"Roca Partida 21/05/2011 Pelayo Camacho, Flaviano 2 3";9
"Roca Partida 21/05/2011 Solano, Rosario 1 3";10
"Roca Partida 21/05/2011 Solano, Rosario 2 2";11
"Roca Partida 21/05/2011 Solano, Rosario 2 3";12
"Roca Partida 21/05/2011 Torres, Jose Cruz 1 3";13
"Tres Rayas 29/09/2011 Delgado, Samuel 1 1";1
"Tres Rayas 29/09/2011 Delgado, Samuel 1 2";2
"Tres Rayas 29/09/2011 Delgado, Samuel 1 3";3
"Tres Rayas 29/09/2011 Delgado, Samuel 2 1";4
"Tres Rayas 29/09/2011 Solano, Rosario 1 1";5
"Tres Rayas 29/09/2011 Solano, Rosario 1 2";6
"Tres Rayas 29/09/2011 Solano, Rosario 1 3";7
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 1 3";1
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 1";2
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 2";3
"El Arroyo (ISPN) 28/09/2011 Bustamante, Noe 1 1";4
"El Arroyo (ISPN) 28/09/2011 Bustamante, Noe 1 2";5
"El Arroyo (ISPN) 28/09/2011 Bustamante, Noe 1 3";6
"El Arroyo (ISPN) 28/09/2011 Bustamante, Noe 2 1";7
"El Arroyo (ISPN) 28/09/2011 Bustamante, Noe 2 2";8
"El Arroyo (ISPN) 28/09/2011 Bustamante, Noe 2 3";9
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 1";10
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 2";11
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 1 3";12
"El Arroyo (ISPN) 28/09/2011 Pelayo Camacho, Flaviano 2 1";13
"El Arroyo (ISPN) 28/09/2011 Pelayo Camacho, Flaviano 2 2";14
"El Arroyo (ISPN) 28/09/2011 Pelayo Camacho, Flaviano 2 3";15
"El Arroyo (ISPN) 28/09/2011 Rojo, Mario 2 1";16
"El Arroyo (ISPN) 28/09/2011 Rojo, Mario 2 2";17
"El Arroyo (ISPN) 28/09/2011 Rojo, Mario 2 3";18
"El Arroyo (ISPN) 28/09/2011 Torres, Daniel 1 1";19
"El Arroyo (ISPN) 28/09/2011 Torres, Daniel 1 2";20
"El Arroyo (ISPN) 28/09/2011 Torres, Daniel 1 3";21
"El Arroyo (ISPN) 28/09/2011 Torres, Jose Cruz 1 1";22
"El Arroyo (ISPN) 28/09/2011 Torres, Jose Cruz 1 2";23
"El Arroyo (ISPN) 28/09/2011 Torres, Jose Cruz 1 3";24
"El Faro (ISPN) 29/09/2011 Becerra, Ulises 1 1";1
"El Faro (ISPN) 29/09/2011 Becerra, Ulises 1 2";2
"El Faro (ISPN) 29/09/2011 Becerra, Ulises 1 3";3
"El Faro (ISPN) 29/09/2011 Bustamante, Noe 1 1";4
"El Faro (ISPN) 29/09/2011 Bustamante, Noe 1 2";5
"El Faro (ISPN) 29/09/2011 Bustamante, Noe 1 3";6
"El Faro (ISPN) 29/09/2011 Delgado, Samuel 1 1";7
"El Faro (ISPN) 29/09/2011 Delgado, Samuel 1 2";8
"El Faro (ISPN) 29/09/2011 Delgado, Samuel 1 3";9
"El Faro (ISPN) 29/09/2011 Pelayo Camacho, Flaviano 1 1";10
"El Faro (ISPN) 29/09/2011 Pelayo Camacho, Flaviano 1 3";11
"El Resumidero 29/09/2011 Becerra, Ulises 1 1";12
"El Resumidero 29/09/2011 Becerra, Ulises 1 2";13
"El Resumidero 29/09/2011 Becerra, Ulises 1 3";14
"El Resumidero 29/09/2011 Becerra, Ulises 2 1";15
"El Resumidero 29/09/2011 Becerra, Ulises 2 2";16
"El Resumidero 29/09/2011 Becerra, Ulises 2 3";17
"El Resumidero 29/09/2011 Delgado, Samuel 1 1";18
"El Resumidero 29/09/2011 Delgado, Samuel 1 2";19
"El Resumidero 29/09/2011 Delgado, Samuel 1 3";20
"El Resumidero 29/09/2011 Delgado, Samuel 2 1";21
"El Resumidero 29/09/2011 Delgado, Samuel 2 2";22
"El Resumidero 29/09/2011 Delgado, Samuel 2 3";23
"El Resumidero 29/09/2011 Encinas, Leopoldo 1 1";24
"El Resumidero 29/09/2011 Encinas, Leopoldo 1 2";25
"El Resumidero 29/09/2011 Encinas, Leopoldo 1 3";26
"El Resumidero 29/09/2011 Encinas, Leopoldo 2 1";27
"El Resumidero 29/09/2011 Encinas, Leopoldo 2 2";28
"El Resumidero 29/09/2011 Encinas, Leopoldo 2 3";29
"El Resumidero 29/09/2011 Torres, Jose Cruz 1 1";30
"El Resumidero 29/09/2011 Torres, Jose Cruz 1 2";31
"El Resumidero 29/09/2011 Torres, Jose Cruz 1 3";32
"El Resumidero 29/09/2011 Torres, Jose Cruz 2 1";33
"El Resumidero 29/09/2011 Torres, Jose Cruz 2 2";34
"El Resumidero 29/09/2011 Torres, Jose Cruz 2 3";35
"La Caverna 20/05/2011 Becerra, Ulises 1 1";1
"La Caverna 20/05/2011 Becerra, Ulises 1 2";2
"La Caverna 20/05/2011 Becerra, Ulises 2 1";3
"La Caverna 20/05/2011 Becerra, Ulises 2 2";4
"La Caverna 20/05/2011 Delgado, Samuel 1 1";5
"La Caverna 20/05/2011 Encinas, Leopoldo 2 1";6
"La Caverna 20/05/2011 Encinas, Leopoldo 2 2";7
"La Caverna 20/05/2011 Encinas, Leopoldo 2 3";8
"La Caverna 20/05/2011 Pelayo Camacho, Flaviano 1 1";9
"La Caverna 20/05/2011 Pelayo Camacho, Flaviano 1 2";10
"La Caverna 20/05/2011 Pelayo Camacho, Flaviano 1 3";11
"La Caverna 20/05/2011 Rojo, Mario 1 1";12
"La Caverna 20/05/2011 Rojo, Mario 1 2";13
"La Caverna 20/05/2011 Rojo, Mario 1 3";14
"La Caverna 20/05/2011 Rojo, Mario 2 1";15
"La Caverna 20/05/2011 Rojo, Mario 2 2";16
"La Caverna 20/05/2011 Rojo, Mario 2 3";17
"La Caverna 20/05/2011 Solano, Rosario 1 1";18
"La Caverna 20/05/2011 Solano, Rosario 1 3";19
"La Caverna 20/05/2011 Solano, Rosario 2 1";20
"La Caverna 20/05/2011 Solano, Rosario 2 2";21
"La Caverna 20/05/2011 Torres, Jose Cruz 1 1";22
"La Caverna 20/05/2011 Torres, Jose Cruz 1 2";23
"La Caverna 20/05/2011 Torres, Jose Cruz 1 3";24
"La Caverna 28/09/2011 Delgado, Samuel 1 1";1
"La Caverna 28/09/2011 Delgado, Samuel 1 2";2
"La Caverna 28/09/2011 Delgado, Samuel 1 3";3
"La Caverna 28/09/2011 Delgado, Samuel 2 1";4
"La Caverna 28/09/2011 Delgado, Samuel 2 2";5
"La Caverna 28/09/2011 Delgado, Samuel 2 3";6
"La Caverna 28/09/2011 Encinas, Leopoldo 1 1";7
"La Caverna 28/09/2011 Encinas, Leopoldo 1 2";8
"La Caverna 28/09/2011 Encinas, Leopoldo 1 3";9
"La Caverna 28/09/2011 Encinas, Leopoldo 2 1";10
"La Caverna 28/09/2011 Encinas, Leopoldo 2 2";11
"La Caverna 28/09/2011 Encinas, Leopoldo 2 3";12
"La Caverna 28/09/2011 Pelayo Camacho, Flaviano 1 1";13
"La Caverna 28/09/2011 Pelayo Camacho, Flaviano 1 2";14
"La Caverna 28/09/2011 Pelayo Camacho, Flaviano 1 3";15
"La Caverna 28/09/2011 Pelayo Camacho, Flaviano 2 1";16
"La Caverna 28/09/2011 Pelayo Camacho, Flaviano 2 2";17
"La Caverna 28/09/2011 Pelayo Camacho, Flaviano 2 3";18
"La Caverna 28/09/2011 Solano, Rosario 1 1";19
"La Caverna 28/09/2011 Solano, Rosario 1 2";20
"La Caverna 28/09/2011 Solano, Rosario 1 3";21
"La Caverna 28/09/2011 Solano, Rosario 2 1";22
"La Caverna 28/09/2011 Solano, Rosario 2 2";23
"La Caverna 28/09/2011 Solano, Rosario 2 3";24
"Roca Partida 21/05/2011 Bustamante, Noe 1 1";1
"Roca Partida 21/05/2011 Bustamante, Noe 1 3";2
"Roca Partida 21/05/2011 Bustamante, Noe 2 1";3
"Roca Partida 21/05/2011 Bustamante, Noe 2 2";4
"Roca Partida 21/05/2011 Delgado, Samuel 2 1";5
"Roca Partida 21/05/2011 Delgado, Samuel 2 2";6
"Roca Partida 21/05/2011 Delgado, Samuel 2 3";7
"Roca Partida 21/05/2011 Encinas, Leopoldo 2 1";8
"Roca Partida 21/05/2011 Pelayo Camacho, Flaviano 1 1";9
"Roca Partida 21/05/2011 Pelayo Camacho, Flaviano 1 2";10
"Roca Partida 21/05/2011 Pelayo Camacho, Flaviano 1 3";11
"Roca Partida 21/05/2011 Rojo, Mario 1 1";12
"Roca Partida 21/05/2011 Rojo, Mario 1 2";13
"Roca Partida 21/05/2011 Rojo, Mario 1 3";14
"Roca Partida 21/05/2011 Rojo, Mario 2 1";15
"Roca Partida 21/05/2011 Rojo, Mario 2 2";16
"Roca Partida 21/05/2011 Rojo, Mario 2 3";17
"Roca Partida 21/05/2011 Torres, Daniel 1 1";18
"Roca Partida 21/05/2011 Torres, Daniel 1 2";19
"Roca Partida 21/05/2011 Torres, Daniel 2 1";20
"Roca Partida 21/05/2011 Torres, Daniel 2 2";21
"Roca Partida 21/05/2011 Torres, Jose Cruz 2 1";22
"Roca Partida 21/05/2011 Torres, Jose Cruz 2 2";23
"Roca Partida 21/05/2011 Torres, Jose Cruz 2 3";24
"Tres Rayas 29/09/2011 Bustamante, Noe 1 1";1
"Tres Rayas 29/09/2011 Bustamante, Noe 1 2";2
"Tres Rayas 29/09/2011 Bustamante, Noe 1 3";3
"Tres Rayas 29/09/2011 Encinas, Leopoldo 1 1";4
"Tres Rayas 29/09/2011 Encinas, Leopoldo 1 2";5
"Tres Rayas 29/09/2011 Encinas, Leopoldo 1 3";6
"Tres Rayas 29/09/2011 Torres, Daniel 1 1";7
"Tres Rayas 29/09/2011 Torres, Daniel 1 2";8
"Tres Rayas 29/09/2011 Torres, Daniel 1 3";9
"Tres Rayas 29/09/2011 Torres, Daniel 2 1";10
"Tres Rayas 29/09/2011 Torres, Daniel 2 2";11
"Tres Rayas 29/09/2011 Torres, Daniel 2 3";12
