"ID";"Transecto"
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 1 1";1
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 1 2";2
"El Arroyo (ISPN) 28/09/2011 Becerra, Ulises 2 3";3
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 2 1";4
"El Arroyo (ISPN) 28/09/2011 Delgado, Samuel 2 2";5
"El Arroyo (ISPN) 28/09/2011 Pelayo Camacho, Flaviano 1 1";6
"El Arroyo (ISPN) 28/09/2011 Pelayo Camacho, Flaviano 1 2";7
"El Arroyo (ISPN) 28/09/2011 Pelayo Camacho, Flaviano 1 3";8
"El Arroyo (ISPN) 28/09/2011 Rojo, Mario 1 1";9
"El Arroyo (ISPN) 28/09/2011 Rojo, Mario 1 2";10
"El Arroyo (ISPN) 28/09/2011 Rojo, Mario 1 3";11
"El Arroyo (ISPN) 28/09/2011 Solano, Rosario 1 1";12
"El Arroyo (ISPN) 28/09/2011 Solano, Rosario 1 2";13
"El Arroyo (ISPN) 28/09/2011 Solano, Rosario 1 3";14
"El Arroyo (ISPN) 28/09/2011 Solano, Rosario 2 1";15
"El Arroyo (ISPN) 28/09/2011 Solano, Rosario 2 2";16
"El Arroyo (ISPN) 28/09/2011 Torres, Daniel 2 1";17
"El Arroyo (ISPN) 28/09/2011 Torres, Daniel 2 2";18
"El Arroyo (ISPN) 28/09/2011 Torres, Daniel 2 3";19
"El Arroyo (ISPN) 28/09/2011 Torres, Jose Cruz 2 1";20
"El Arroyo (ISPN) 28/09/2011 Torres, Jose Cruz 2 2";21
"El Arroyo (ISPN) 28/09/2011 Torres, Jose Cruz 2 3";22
"El Faro (ISPN) 29/09/2011 Solano, Rosario 1 1";1
"El Faro (ISPN) 29/09/2011 Solano, Rosario 1 2";2
"El Faro (ISPN) 29/09/2011 Solano, Rosario 1 3";3
"El Faro (ISPN) 29/09/2011 Torres, Daniel 1 1";4
"El Faro (ISPN) 29/09/2011 Torres, Daniel 1 2";5
"El Faro (ISPN) 29/09/2011 Torres, Daniel 1 3";6
"El Faro (ISPN) 29/09/2011 Torres, Jose Cruz 1 1";7
"El Faro (ISPN) 29/09/2011 Torres, Jose Cruz 1 3";8
"El Resumidero 29/09/2011 Garcia, Juan Gabriel 1 2";9
"El Resumidero 29/09/2011 Garcia, Juan Gabriel 2 1";10
"El Resumidero 29/09/2011 Pelayo Camacho, Flaviano 1 2";11
"El Resumidero 29/09/2011 Pelayo Camacho, Flaviano 1 3";12
"El Resumidero 29/09/2011 Pelayo Camacho, Flaviano 2 1";13
"El Resumidero 29/09/2011 Pelayo Camacho, Flaviano 2 2";14
"El Resumidero 29/09/2011 Torres, Daniel 1 1";15
"El Resumidero 29/09/2011 Torres, Daniel 1 2";16
"El Resumidero 29/09/2011 Torres, Daniel 1 3";17
"El Resumidero 29/09/2011 Torres, Daniel 2 2";18
"El Resumidero 29/09/2011 Torres, Daniel 2 3";19
"La Caverna 20/05/2011 Delgado, Samuel 2 1";1
"La Caverna 20/05/2011 Encinas, Leopoldo 1 1";2
"La Caverna 20/05/2011 Garcia, Juan Gabriel 1 1";3
"La Caverna 20/05/2011 Garcia, Juan Gabriel 1 3";4
"La Caverna 20/05/2011 Pelayo Camacho, Flaviano 2 2";5
"La Caverna 20/05/2011 Pelayo Camacho, Flaviano 2 3";6
"La Caverna 20/05/2011 Torres, Daniel 1 1";7
"La Caverna 20/05/2011 Torres, Daniel 1 2";8
"La Caverna 20/05/2011 Torres, Daniel 2 1";9
