site;date;observer;dive;start_time;end_time;replicate;start_depth;end_depth;depth;other_depth_information;visibility;direction;current;current_speed;temperature;method;other_method;length;width;height;diameter;census_duration;survey_description
El Arroyo (ISPN);28/09/2011;Delgado, Samuel;1;0.465277778;0.494444444;1;;;20;near_bottom;11;150;medium;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Delgado, Samuel;1;0.465277778;0.494444444;2;;;20;near_bottom;11;150;medium;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Delgado, Samuel;1;0.465277778;0.494444444;3;;;20;near_bottom;11;150;medium;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Delgado, Samuel;2;0.465277778;0.494444444;1;;;20;mid-water;11;150;medium;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Delgado, Samuel;2;0.465277778;0.494444444;2;;;20;mid-water;11;150;medium;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Delgado, Samuel;2;0.465277778;0.494444444;3;;;20;mid-water;11;150;medium;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Becerra, Ulises;1;0.465277778;0.494444444;1;;;20;mid-water;11;150;medium;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Becerra, Ulises;1;0.465277778;0.494444444;2;;;20;mid-water;11;150;medium;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Becerra, Ulises;1;0.465277778;0.494444444;3;;;20;near_bottom;11;150;medium;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Becerra, Ulises;2;0.465277778;0.494444444;1;;;20;near_bottom;11;150;medium;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Becerra, Ulises;2;0.465277778;0.494444444;2;;;20;near_bottom;11;150;medium;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Becerra, Ulises;2;0.465277778;0.494444444;3;;;20;mid-water;20;150;low;;30;transect;;30;2;2;;42;
El Arroyo (ISPN);28/09/2011;Rojo, Mario;1;0.463888889;0.489583333;1;;;5;mid-water;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Rojo, Mario;1;0.463888889;0.489583333;2;;;5;mid-water;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Rojo, Mario;1;0.463888889;0.489583333;3;;;6;mid-water;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Rojo, Mario;2;0.463888889;0.489583333;1;;;6.5;near_bottom;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Rojo, Mario;2;0.463888889;0.489583333;2;;;6.5;near_bottom;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Rojo, Mario;2;0.463888889;0.489583333;3;;;5;near_bottom;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;0.463888889;0.489583333;1;;;5;near_bottom;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;0.463888889;0.489583333;2;;;5;near_bottom;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Torres, Daniel;1;0.463888889;0.489583333;3;;;5;near_bottom;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Torres, Daniel;2;0.463888889;0.489583333;1;;;6;mid-water;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Torres, Daniel;2;0.463888889;0.489583333;2;;;6.4;mid-water;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Torres, Daniel;2;0.463888889;0.489583333;3;;;6.5;mid-water;20;150;low;;30;transect;;30;2;2;;37;
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;0.465277778;0.495138889;1;;;11;near_bottom;12;120;medium;;31.8;transect;;30;2;2;;43;
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;0.465277778;0.495138889;2;;;12;near_bottom;12;120;medium;;30.4;transect;;30;2;2;;43;
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;1;0.465277778;0.495138889;3;;;11.1;near_bottom;12;120;medium;;28.7;transect;;30;2;2;;43;
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;0.465277778;0.495138889;1;;;10.5;near_bottom;12;120;medium;;30.3;transect;;30;2;2;;43;
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;0.465277778;0.495138889;2;;;10;near_bottom;12;120;medium;;30.3;transect;;30;2;2;;43;
El Arroyo (ISPN);28/09/2011;Bustamante, Noe;2;0.465277778;0.495138889;3;;;8.5;near_bottom;12;120;medium;;31.1;transect;;30;2;2;;43;
